I_magnitude,period_days,I_band_amplitude,V_minus_I_color,star_type
15.31,3.5143544,0.443,0.7819999999999983,Cepheid
15.71,3.0610513,0.359,0.8930000000000007,Cepheid
14.301,6.8326397,0.328,0.7560000000000002,Cepheid
15.099,3.5671152,0.542,0.7149999999999999,Cepheid
15.451,2.6259978,0.432,0.6059999999999981,Cepheid
16.271,1.5715991,0.558,0.6119999999999983,Cepheid
15.045,3.8269256,0.63,0.8719999999999999,Cepheid
14.93,4.9584984,0.416,0.8550000000000004,Cepheid
15.456,2.5747764,0.679,0.5990000000000002,Cepheid
13.669,12.6202409,0.462,0.8889999999999993,Cepheid
13.696,13.6261985,0.473,0.9589999999999996,Cepheid
13.923,9.2679162,0.498,0.8079999999999998,Cepheid
15.481,2.791004,0.438,0.677999999999999,Cepheid
16.007,2.1444944,0.253,0.6999999999999993,Cepheid
15.277,3.3926236,0.561,0.7090000000000014,Cepheid
15.075,4.2751769,0.328,0.8300000000000001,Cepheid
15.108,4.0470625,0.295,0.8099999999999987,Cepheid
15.483,3.947639,0.365,0.9540000000000006,Cepheid
15.287,2.8680941,0.416,0.7460000000000004,Cepheid
15.336,3.2242953,0.605,0.7990000000000013,Cepheid
15.892,2.0829962,0.515,0.7360000000000007,Cepheid
14.361,6.2915059,0.435,0.7649999999999988,Cepheid
14.322,7.2234972,0.16,0.7440000000000015,Cepheid
15.152,2.8142081,0.509,0.4480000000000004,Cepheid
15.439,3.1226757,0.371,0.7010000000000005,Cepheid
15.299,3.2967861,0.533,0.777000000000001,Cepheid
15.154,3.8693142,0.299,0.7729999999999997,Cepheid
14.993,5.3551406,0.495,0.9420000000000002,Cepheid
14.561,9.3553088,0.287,1.2420000000000009,Cepheid
15.309,3.4482612,0.481,0.8119999999999994,Cepheid
14.357,5.9764993,0.575,0.7759999999999998,Cepheid
15.267,3.0863817,0.519,0.6660000000000004,Cepheid
14.163,7.9627788,0.314,0.8780000000000001,Cepheid
14.961,3.8328149,0.508,0.6709999999999994,Cepheid
15.096,4.8518839,0.251,1.0030000000000001,Cepheid
15.014,4.4516006,0.341,0.7990000000000013,Cepheid
14.663,5.6990471,0.354,0.8449999999999989,Cepheid
14.258,6.8938013,0.211,0.7040000000000006,Cepheid
15.843,1.9868431,0.415,0.6960000000000015,Cepheid
14.061,6.8937966,0.547,0.6969999999999992,Cepheid
15.277,3.2728082,0.507,0.7279999999999998,Cepheid
15.285,3.3972653,0.455,0.7570000000000014,Cepheid
14.908,4.7872233,0.162,0.8580000000000005,Cepheid
15.072,3.7501068,0.419,0.7970000000000006,Cepheid
15.352,3.1172612,0.404,0.754999999999999,Cepheid
15.54,3.0979652,0.396,0.8300000000000018,Cepheid
13.281,15.8313392,0.528,0.9619999999999997,Cepheid
15.954,2.1675545,0.582,0.7459999999999987,Cepheid
13.524,12.7701901,0.6,0.7420000000000009,Cepheid
14.415,5.2021228,0.664,0.6490000000000009,Cepheid
15.282,3.0408745,0.336,0.9089999999999989,Cepheid
15.507,2.802562,0.476,0.6890000000000018,Cepheid
15.469,3.2111212,0.345,0.8520000000000021,Cepheid
14.849,4.8310717,0.475,0.8019999999999996,Cepheid
15.359,3.2985065,0.361,0.7819999999999983,Cepheid
15.236,3.4348823,0.506,0.7569999999999997,Cepheid
15.43,3.1323191,0.366,0.7620000000000005,Cepheid
14.878,4.7099021,0.562,0.7439999999999998,Cepheid
15.229,2.9361153,0.454,0.6750000000000007,Cepheid
15.557,3.0538412,0.338,0.8459999999999983,Cepheid
13.885,10.3074347,0.307,0.9120000000000008,Cepheid
16.315,2.7044622,0.389,1.1409999999999982,Cepheid
15.477,3.1056658,0.347,0.8219999999999992,Cepheid
15.674,2.4584396,0.671,0.6530000000000022,Cepheid
15.533,2.6756613,0.544,0.7230000000000008,Cepheid
